businessunit,calendarid,calendar,calendarid
activityparty,partyid,equipment,equipmentid
activityparty,partyid,incident,incidentid
activityparty,partyid,invoice,invoiceid
activityparty,partyid,knowledgearticle,knowledgearticleid
activityparty,partyid,lead,leadid
activityparty,partyid,msdyn_salessuggestion,msdyn_salessuggestionid
activityparty,partyid,opportunity,opportunityid
activityparty,partyid,queue,queueid
activityparty,partyid,quote,quoteid
activityparty,partyid,salesorder,salesorderid
activityparty,partyid,systemuser,systemuserid
activityparty,resourcespecid,resourcespec,resourcespecid
activityparty,ownerid,systemuser,
activityparty,ownerid,team,
activitypointer,createdby,systemuser,
activitypointer,createdonbehalfby,systemuser,systemuserid
activitypointer,modifiedby,systemuser,systemuserid
activitypointer,modifiedonbehalfby,systemuser,systemuserid
activitypointer,owningbusinessunit,businessunit,businessunitid
activitypointer,owningteam,team,teamid
activitypointer,owninguser,systemuser,systemuserid
activitypointer,regardingobjectid,account,
activitypointer,regardingobjectid,adx_invitation,
activitypointer,regardingobjectid,bookableresourcebooking,
activitypointer,regardingobjectid,bookableresourcebookingheader,
activitypointer,regardingobjectid,bulkoperation,
activitypointer,regardingobjectid,campaign,
activitypointer,regardingobjectid,campaignactivity,
activitypointer,regardingobjectid,cnx_finesseserver,
activitypointer,regardingobjectid,cnx_servicelayout,
activitypointer,regardingobjectid,contact,
activitypointer,regardingobjectid,contract,
activitypointer,regardingobjectid,docusign_user,
activitypointer,regardingobjectid,dow_accountmanual,
activitypointer,regardingobjectid,dow_accountmanualordertemplate,
activitypointer,regardingobjectid,dow_accountmanualproduct,
activitypointer,regardingobjectid,dow_accountmanualshipto,
activitypointer,regardingobjectid,dow_accountmanualsoldto,
activitypointer,regardingobjectid,dow_accountplan,
activitypointer,regardingobjectid,dow_attributemappingentity,
activitypointer,regardingobjectid,dow_casetype,
activitypointer,regardingobjectid,dow_competitiveanalysis,
activitypointer,regardingobjectid,dow_county,
activitypointer,regardingobjectid,dow_financials,
activitypointer,regardingobjectid,dow_globalsalestargets,
activitypointer,regardingobjectid,dow_goals,
activitypointer,regardingobjectid,dow_quantifiedvalueproposition,
activitypointer,regardingobjectid,dow_reportofcall,
activitypointer,regardingobjectid,dow_salescontract,
activitypointer,regardingobjectid,dow_salesregion,
activitypointer,regardingobjectid,dow_sampleproductlineitem,
activitypointer,regardingobjectid,dow_state,
activitypointer,regardingobjectid,entitlement,
activitypointer,regardingobjectid,entitlementtemplate,
activitypointer,regardingobjectid,incident,
activitypointer,regardingobjectid,interactionforemail,
activitypointer,regardingobjectid,invoice,
activitypointer,regardingobjectid,knowledgearticle,
activitypointer,regardingobjectid,knowledgebaserecord,
activitypointer,regardingobjectid,lead,
activitypointer,regardingobjectid,msdyn_customerasset,
activitypointer,regardingobjectid,msdyn_playbookinstance,
activitypointer,regardingobjectid,msdyn_postalbum,
activitypointer,regardingobjectid,msdyn_salessuggestion,
activitypointer,regardingobjectid,msdyn_swarm,
activitypointer,regardingobjectid,mspp_adplacement,
activitypointer,regardingobjectid,mspp_pollplacement,
activitypointer,regardingobjectid,mspp_publishingstatetransitionrule,
activitypointer,regardingobjectid,mspp_redirect,
activitypointer,regardingobjectid,mspp_shortcut,
activitypointer,regardingobjectid,mspp_website,
activitypointer,regardingobjectid,opportunity,
activitypointer,regardingobjectid,quote,
activitypointer,regardingobjectid,salesorder,
activitypointer,regardingobjectid,site,
activitypointer,sendermailboxid,mailbox,mailboxid
activitypointer,serviceid,service,serviceid
activitypointer,slaid,sla,slaid
activitypointer,slainvokedid,sla,slaid
activitypointer,transactioncurrencyid,transactioncurrency,transactioncurrencyid
activitypointer,ownerid,systemuser,
activitypointer,ownerid,team,
activitypointer,allparties,account,
activitypointer,allparties,contact,
activitypointer,allparties,equipment,
activitypointer,allparties,lead,
activitypointer,allparties,queue,
activitypointer,allparties,systemuser,
activitypointer,allparties,team,
activitypointer,regardingobjectid,dow_userbackup,
